tweet,sentiment,sentiment_score,annotator,annotator_score,directness,directness_score,group,group_score,target,target_score
تم عقد الاجتماع الأول لطلاب التوعية بمدرسة سعد بن معاذ الابتدائية،  والذي هدف إلى بيان أهداف الجمعية من تنمية مهارا… @url,normal,5,indifference,6,indirect,0,other,1,other,0
الظاهر ان الدختر قاع يعاني من موجة عالية من التحرش والشاهد (يحليلة),offensive,2,indifference,6,indirect,0,individual,0,other,0
@user مو مشكله نشرب بول البعير بس ما ننهان من العالم يا ولد القحبه,offensive,2,shock,1,indirect,0,other,1,origin,1
#تويته_حلوه_منك توتير صار قذر جدا كأني في حظيرة خنازير تلعب بطين من,offensive,2,indifference,6,indirect,0,other,1,other,0
ترمب يدافع عن كافانا: إدعاءات التحرش هدفها سياسي,normal,5,indifference,6,indirect,0,individual,0,other,0
@user @user كل الكلام اللي قاله هذا الكائن صحيح لكنه عندما يتحدث عن المصريين فهو يقصد خنازير النظام و… @url,abusive,0,indifference,6,indirect,0,other,1,other,0
من الكلاب النابحة المرتزقة اراذل خنازير الع… @url,hateful,1,shock,1,direct,1,other,1,origin,1
@user @user احنا الغجر يا بدو؟  يا راعية الابل لا تكثرين من شرب بول البعير... ما حدا طايقكن هالايام مشكل… @url,offensive,2,shock,1,direct,1,individual,0,other,0
يواصل مركز #أمان #حملة_لا_تلمسني لتوعية الأطفال ضد التحرش. @url,normal,5,indifference,6,indirect,0,other,1,other,0
ويهربون خنازير الوهابية الذين فجروا فنادق بيروت يا فرخ. @url,hateful,1,anger,2,direct,1,other,1,other,0
@user @user كس امك ياعار هيه عاهره صاقطه شجاب ذولى عليهم بس انته جماعة #بول_البعير_تموتون_من_الشيعه ي… @url,abusive,0,disgust,0,direct,1,individual,0,other,0
طبعا التويته ودوها الفيس و تقريبا 90% من تعليقاتهم اني زولة بايره و فاكه العلاقه شنو ما عارفه و كميه شتايم كفيلة بإ… @url,normal,5,confusion,5,indirect,0,other,1,other,0
حجة مبرراتية حماس فى دفاعها عن كفرة نظام إيران و سفاحين الشيعة هو إن مفيش بديل والكل طعن غزة وإيران الوحيدة اللى بت… @url,hateful,1,anger,2,indirect,0,other,1,origin,1
الله. ليشفايهن  قال  لولاد. منو. من. ضهرك. كل مجن. فرحلو  هد بهيم  احفد. روعات  دجاج. ولخنزير. لمجوس  قال لمتال  يا… @url,abusive,0,shock,1,indirect,0,other,1,origin,1
اصلها مش زراير هندوس عليها عشان نلاقي روحنا نسينا حد و عرفنا نلاقي حد غيره .. يا رتها كانت كدة,normal,5,shock,1,indirect,0,other,1,other,0
#في_بلادك_تقدري تعيشي بلا ما تسمعي : عورة ، بلاصتك فالكوزينة ، مسطاشة ، عاهرة ،  بايرة ...,disrespectful,3,sadness,3,direct,1,women,2,gender,2
@user @user  نور قوليلها انها بايرة عشان إللى بتعملوا فينا ده كتير اوى والله,fearful,4,sadness,3,direct,1,individual,0,gender,2
من هذا السفور المُزري والتبرج،،,normal,5,shock,1,indirect,0,women,2,gender,2
لأنه مواظب على شرب بول البعير...,disrespectful,3,indifference,6,direct,1,individual,0,origin,1
@user @user لو ما عاجبتك عندك ١٠٠٠ قناة عربية تتكلم عن فوائد شرب بول البعير و لقاءات مع شيوخ على… @user,normal,5,sadness,3,direct,1,individual,0,other,0
بعد ساعة وربع يحق لجميع الاشخاص التحرش فيني ولن يكونوا عرضة للقانون بما اني بأكمل 18,abusive,0,shock,1,direct,1,women,2,other,0
ما بدي كون متطفّل، أعتقد أنّهم يأكلون الضّبّ ويتعاطون بول البعير، وكفى ذلك شحار وتعتير. @url,hateful,1,disgust,0,indirect,0,other,1,other,0
@user نعم وأسلافنا سلموا أمر دينهم ورسالته لمجموعة من الجهلة والمغفلين فساقوا البشرية إلى شرب بول البعير,normal,5,indifference,6,indirect,0,other,1,other,0
طبيعي يا عالم يا وسخ من ايام الفارابي للأن محد قدر يسوي هالمدينه الصغيره الجميله؟,offensive,2,anger,2,indirect,0,other,1,other,0
ما الفائدة من صورة فتآة متبرجة كاشفة الوجه  عارية الساقين او  الذراعين تضعينها صورة صفحتك الشخصية,offensive,2,anger,2,direct,1,women,2,origin,1
أنت تروّج لشخصيات منحرفة بداعي أنها أحسنت في جزئية ما!! وماذا عن بقية سيرت… @url,normal,5,disgust,0,direct,1,individual,0,other,0
@user يمشي بخطا ادارتها قيد من الأمريكان ونهب اسرائيل و تجاهل العرب وضغط أوروبي.  هو لا يطبق مايتكلم. له اتجاهات منحرفة,normal,5,sadness,3,direct,1,other,1,origin,1
@user @user نحن لا نشرب بول البعير . لأنه كان حالة خاصة لعلاج مرض .كما ان بعض علماء الاسلام يحرمون شربه… @user,normal,5,indifference,6,indirect,0,other,1,other,0
للى بيقولوا لبس البنت سبب التحرش,normal,5,shock,1,direct,1,women,2,gender,2
@user و انت معتنق دين بول البعير,hateful,1,shock,1,direct,1,individual,0,other,0
@user @user @user @user غالبا يكون كلامه بيرفكت وهي ماتعرف انه ينظر لها بدونية ويعتبرها منحرفة و… @url,disrespectful,3,indifference,6,direct,1,individual,0,other,0
تركى آل شيخ وهو بيشتم دكتور محمد العدل ومفيش وسخ من اللى طالعين يدافعوا عنه نطق كلمة,abusive,0,shock,1,direct,1,individual,0,origin,1
@user @user هسه اني ليش متعب نفسي ويه وحده تامن في بول البعير شفاء للمريض,abusive,0,disgust,0,direct,1,other,1,other,0
@user هل تفكر بأن شرب بول البعير ليس بحلال وأنها نجسة ومكروهة ينفر منها الحيوان قبل الانسان؟ فانت كافر زند… @user,offensive,2,shock,1,indirect,0,individual,0,religion,3
لم تكوني بتتونسي مع صحباتك وهم متزوجات وانتي بايره  @url,disrespectful,3,shock,1,direct,1,women,2,other,0
@user @user خنزير فاجر يقتل القتيل ويمشي في جنازته امتا يارب النجاه من الفاسد الإرهابي ده اللي بيتحكم في المصريين غصب عنهم,hateful,1,shock,1,direct,1,individual,0,origin,1
@user @user السعودية لو أرادت التطبيع لفعلت ذلك يا خنزير,disrespectful,3,shock,1,direct,1,individual,0,other,0
فيها باقي بعد مو انتي فصلتيني بس اكثر شي عجبني التحرش بخلق الله @url,offensive,2,indifference,6,indirect,0,individual,0,other,0
بص ياحياتها من امبارح وبنقول الصوره مفبركه والاستدلال فاسد ومافيش فايده فى عقل الخنزير اللى انت حاطه وعاوز تقارن ها… @url,normal,5,anger,2,direct,1,individual,0,other,0
@user وحجر وسيري سايره ولا تكوني بايره,offensive,2,sadness,3,indirect,0,women,2,gender,2
@user @user انتم سبب دمار الدول وتخلفها يا شاربي بول البعير .ايران قريبه منكم يا جبنإ,hateful,1,disgust,0,direct,1,other,1,origin,1
@user @user @user اكيد شارب بول البعير مبين من كلامك لان هذه القاذورات التي تتلفض بها اس… @url,offensive,2,sadness,3,indirect,0,individual,0,other,0
@user ويتهمون اهل الجزيره بالهمجيه والتخلف وشرب بول البعير وهم يضاهون العالم بهمجيتهم ووحشيتهم,abusive,0,disgust,0,direct,1,other,1,other,0
@user @user @user @user وسوف ندعسكم دعس وموتوا بغيظكم يا خنازير,hateful,1,indifference,6,direct,1,other,1,other,0
ليفربول يلعن ابو القذارة اللي فيكم يا خنازير,abusive,0,indifference,6,indirect,0,other,1,other,0
شاهد: داعية مصري يكشف سبب التحرش بالفتيات.. لأن شنطتك ذهبي يطمع فيك! @url,offensive,2,indifference,6,indirect,0,women,2,other,0
خنزير آدمي يدعي الامانه ويصلي صلاة الجماعه يدعي الأخلاق الحميده يساعد الناس,abusive,0,shock,1,indirect,0,individual,0,religion,3
زي كل مذبحة يطلع أشباه بشر برؤوس خنازير تصقف لقتل أبرياء لا حول لهم و لا قوة و يشمتوا في دمهم,hateful,1,sadness,3,indirect,0,other,1,other,0
@user يا شرق سلوي.... اتقي الله يعني اذا كان زعمائك خنازير وكلاب مش قادرة تصدقي هالحكي،،،،، والله انا فلسطين… @url,hateful,1,shock,1,indirect,0,individual,0,other,0
@user @user هو ازاي سمير ب دقن وحسناء متبرجه,abusive,0,anger,2,indirect,0,individual,0,gender,2
@user @user في حريم مستعجلات على بالها سواقة السيارة مثل سواقة الدراجة,abusive,0,confusion,5,direct,1,women,2,gender,2
*عاوز تسيب تجارة إنجلش اللى دفعنا فيها دم قلبنا و تروح تكتب افلام للسبكى و تساعد على إنتشار البلطجة و التحرش يا خول؟ @url,offensive,2,disgust,0,direct,1,individual,0,other,0
@user لإن التحرش وسيلة ردع للإناث عن أنهم يخرجوا عن سطوة وسيطرة الجنس الاعلي,normal,5,indifference,6,direct,1,women,2,gender,2
لا تحاولين تلميع ملتكم النجسة,disrespectful,3,disgust,0,indirect,0,other,1,other,0
لعل هذا الامر يظهر حالة المجتمع الذكوري اللي دابحينا فيها كل ما دق الكوز بالجرة.. اما ظاهرة التحرش او الاغتصاب بأي… @url,offensive,2,indifference,6,direct,1,women,2,gender,2
انت خنزير جرار ساقط,disrespectful,3,indifference,6,direct,1,individual,0,other,0
@user يا راجل هو احنا شفنا التحرش والفضايح دي كلها الا بعد ما ستات مصر اتحجبت واتنقبت .. بلا قرف,disrespectful,3,anger,2,indirect,0,other,1,other,0
جنوب سوريا ثواراحرار,normal,5,indifference,6,indirect,0,other,1,other,0
يابن الكلب ي وسخ انتا,offensive,2,shock,1,indirect,0,individual,0,other,0
فيه واحد خنزير قاعد يعاطس على جهتي وجا شوي بلغم على طاولتي @url,hateful,1,indifference,6,indirect,0,individual,0,other,0
فيه نوعية كلاب مسعورة هذه نظرتها في كل مجتمع وكل دولة,offensive,2,shock,1,indirect,0,other,1,other,0
@user @user @user يعني ناكل خنزير عادي علشان ربنا خلقه وبعدها حرمه ونشرب خمر ونزني وكل شي والله فله .… @url,normal,5,sadness,3,indirect,0,other,1,other,0
@user هاذ خنزير خاين وكلب من خان بلده يعتبر خنزير مشررد لعنه الله,hateful,1,disgust,0,indirect,0,individual,0,other,0
@user هل تفكر بأن شرب بول البعير ليس بحلال وأنها نجسة ومكروهة ينفر منها الحيوان قبل الانسان؟ فانت كافر زند… @user,offensive,2,anger,2,indirect,0,individual,0,religion,3
شنو نوع معازيب يامرون خدم المنازل عندهم الحريم بغسيل الحوش والسيايير الساعة ١١ بالليل ماكو احساس ارحم ترحم يا بهيم,offensive,2,sadness,3,indirect,0,individual,0,other,0
#العراق لما كان يحكمها رجال ولما كان لهم رجال ياخذ حقهم الحين يحكمها خنزير شيعي ورجاله عبده الحسين والنتيجة انهم تح… @url,hateful,1,disgust,0,indirect,0,other,1,religion,3
@user @user @user خنزير,disrespectful,3,confusion,5,indirect,0,other,1,other,0
من هذا المنبر احب اقول الله ياخذ عمر الحريم,offensive,2,disgust,0,direct,1,women,2,gender,2
@user @user خنزير مخرفن,offensive,2,disgust,0,direct,1,individual,0,other,0
@user لما تشوفين مجتمع يستخدم كلمة حرمة او بنت كـ سبة، فغير مستغرب انهم يعاملونك كـ قاصر. يشوفونك ناقصة عقل، و الحرية بتخربك.,normal,5,shock,1,indirect,0,women,2,gender,2
ما تفكر كل الناس متلكم يا شاربي بول البعير,hateful,1,disgust,0,indirect,0,other,1,origin,1
ترى حتى الحريم عندهم شنبات بس شايلات ليزر,normal,5,indifference,6,indirect,0,women,2,other,0
الكلب لا يعض اذن اخوه كذابين خنازير @url,hateful,1,disgust,0,indirect,0,other,1,other,0
انت وسخ اوي اوي ان شاء الله تتفضح ومحدش يسترها عليك اللهم اميين @url,normal,5,indifference,6,indirect,0,individual,0,other,0
@user @user اي فتن اي خرابيط وش تخربطين انتي ماطيقهم لسانهم وسخ,offensive,2,indifference,6,direct,1,individual,0,other,0
@user @user والله لو احطه شيخ على حمير بينطقون بيحلفون انهم خنازير ............ عشان مايكون شيخهم هالنغل,offensive,2,disgust,0,direct,1,individual,0,other,0
لو تدخل كان سمع دعاء السوريين و الفلسطينيين و العراقيين و الافارقه المسلمين الي يدعون ل… @url,normal,5,sadness,3,indirect,0,other,1,religion,3
زي ما في حملات ضد التحرش والتنمر والعنصرية وو ياريت نشوف حملات ضد العقاب الابوي وتسلطهم وتشويه نفسية ابنائهم، عمر و… @url,offensive,2,confusion,5,indirect,0,other,1,other,0
@user وانتم بس قاعدين تخنثوا بعض وناطرين الناس تبلعكم مثل البهايم .. ما في أخس وأنجس منكم يا خنازير !!,offensive,2,disgust,0,indirect,0,other,1,other,0
معاك ريال تسوين ريال ، لايضحكون بعقلك خنازير… @url,disrespectful,3,sadness,3,indirect,0,individual,0,other,0
@user @user @user خلافنا مع الشوال لأنه أتدخل في شؤون نادينا ف بالتالي هيسبب ضرر لينا ف كل… @url,normal,5,indifference,6,indirect,0,individual,0,other,0
@user @user على وقتها انتو كنتو على بول البعير,offensive,2,shock,1,direct,1,other,1,origin,1
@user والله أتاري في ذباب كثير و خنازير كثيرة في تويتر اليوم أتعرف على خنزيرة جديدة اسمها غادة ..ما اعرفك بس… @url,abusive,0,shock,1,direct,1,individual,0,other,0
@user @user شكلك مكتر شرب من بول البعير يا سعوري .,hateful,1,indifference,6,direct,1,other,1,origin,1
@user @user @user ههههههههه نبقى تاج رأسك حقك هذا تأثير بول البعير الذي تشربون  @url,disrespectful,3,disgust,0,direct,1,individual,0,other,0
صباحووو خنازيري السمينة حابب افطر على خنزير منكم خنزير,hateful,1,disgust,0,indirect,0,other,1,other,0
@user @user جمهور وسخ,offensive,2,disgust,0,direct,1,other,1,other,0
@user ما هو تخصص الشنقيذي هذا هل هو مدرس في السياسة ام عام الإجرام ام انه جاء ليقبض بالدولار ويكذب على خنازير ا… @url,hateful,1,shock,1,indirect,0,other,1,other,0
من الواضح ان هدي عبد المنعم متجوزة (2)وخلفت خروفين واحد اسمه احمد السيد والتانى اسمه جهاد خالد,offensive,2,indifference,6,direct,1,individual,0,other,0
لم أرى اقذر من خنازير الدواعش الا من يبررون فعلتهم  .,normal,5,indifference,6,direct,1,other,1,religion,3
@user @user مع الايام بتقول يحق لهم التحرش بالبنت اللي جالسه ببيتها ليش جالسه,offensive,2,indifference,6,indirect,0,women,2,gender,2
فرنسا تدعو لإنشاء مراكز لعبور اللاجئين الأفارقة في ليبيا @url,normal,5,sadness,3,indirect,0,african_descent,3,other,0
@user يعني ابن العبيطة ده المخابرات القطرية هتجند مساعدين مبس عشان يقتلولها مثلا .. دي اخرة بول البعير والله,offensive,2,indifference,6,indirect,0,other,1,other,0
@user هذه ارض ولها شعب ولولا تخاذل حكام العرب وتواطؤهم مع المحتل كان الان لا يوجد اي خنزير محتل على ارضنا،… @url,offensive,2,shock,1,direct,1,other,1,origin,1
ليت للسنة كيان يقف في وجه ايران..ومن قبلها إسرائيل..حينها لن تجرؤ إيران ولا غيرها على التحرش بأي بلد عربي..,normal,5,shock,1,indirect,0,other,1,religion,3
ليش عندهم التحرش ظاهرة خطيرة مع ان الدعارة مرخصة ومراقص الستريب تيز وشواطىء العراة محذفة بكل مكان؟ @url,offensive,2,indifference,6,direct,1,other,1,other,0
زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا… @url,normal,5,sadness,3,indirect,0,other,1,other,0
@user ما انصحك العن ناس في التدريس الحريم,offensive,2,disgust,0,indirect,0,women,2,gender,2
@user @user @user @user نتشرف يا خنزير المجوس أن تكون صواريخ صدام التي دكت عروش المجوس ومرغ… @url,offensive,2,anger,2,direct,1,other,1,origin,1
قدم الاستاذ زكريا الفارسي ( مشرف إرشاد اجتماعي)بالتعاون مع أداره المدرسة والاخصائي الاجتماعي  الاستاذ زايد المعمري… @url,normal,5,indifference,6,direct,1,individual,0,other,0
@user وكيف اقنعك الموساد أنك تكون عميل لها. وانك خنزير وليس آدمي ولاتحمل من الآدميه ذرها.,abusive,0,shock,1,direct,1,individual,0,other,0
@user @user لا تنسى ان بيننا خنازير,abusive,0,indifference,6,indirect,0,other,1,other,0
يا جماعه كفايه ام الحوارات دي شكلكوا بيبقي وسخ فشخ بعد كده,disrespectful,3,sadness,3,indirect,0,other,1,other,0
محمد سعد عبدالحفيظ .. عضو مجلس نقابة الصحفيين .. تم الاعتداء على الصحفيين بالضرب والشتم .. و تم التحرش بزميلة !!!!!… @url,fearful,4,sadness,3,direct,1,other,1,other,0
عمرك شفت مصاري بتسحب عليك ؟ طب عمرك سمعت انه المصاري بتكذب ؟ مين وسخ الدنيا هسا ؟,offensive,2,indifference,6,indirect,0,other,1,other,0
صحبك اب سن مشرومة مجكس؟ — بايره ساي دا @url,offensive,2,indifference,6,indirect,0,women,2,gender,2
@user ناخذ الكلام من متبرجه قاعده بالديسكو,normal,5,anger,2,direct,1,individual,0,gender,2
تنرفزوا خنازير ليفربول قاموا يضربون فيه !!!,disrespectful,3,indifference,6,direct,1,other,1,other,0
@user @user شنو اللواكه ياشاربي بول البعير يا اذناب الاستعمار يابقرة ترامب,abusive,0,shock,1,direct,1,other,1,origin,1
منحرفة @url,offensive,2,sadness,3,indirect,0,individual,0,gender,2
ايقنت ان فيه جمال يخلي الحريم يقطعون يدهم بدال الفواكه,normal,5,indifference,6,direct,1,women,2,other,0
احنا كلنا كان مضحوك علينا من خنازير الاعلام المصري اتضح ان الشعب القطري شعب راقي وجميل وبعدين انتو اصلا دوله متقدمه… @url,offensive,2,indifference,6,direct,1,other,1,origin,1
